benchmark,repetition_id,exception,tool,mtf,repeatibility
rhino,1,java.lang.VerifyError,pest2,7,0.44
rhino,2,java.lang.VerifyError,pest2,45,0.44
rhino,3,java.lang.VerifyError,pest2,66,0.44
rhino,4,java.lang.VerifyError,pest2,43,0.44
rhino,5,java.lang.VerifyError,pest2,47,0.44
rhino,6,java.lang.VerifyError,pest2,45,0.44
rhino,7,java.lang.VerifyError,pest2,30,0.44
rhino,8,java.lang.VerifyError,pest2,63,0.44
rhino,9,java.lang.VerifyError,pest2,38,0.44
rhino,10,java.lang.VerifyError,pest2,61,0.44
rhino,11,java.lang.VerifyError,pest2,37,0.44
rhino,1,java.lang.VerifyError,pest,35,0.36
rhino,2,java.lang.VerifyError,pest,14,0.36
rhino,3,java.lang.VerifyError,pest,18,0.36
rhino,4,java.lang.VerifyError,pest,40,0.36
rhino,5,java.lang.VerifyError,pest,15,0.36
rhino,6,java.lang.VerifyError,pest,7,0.36
rhino,7,java.lang.VerifyError,pest,6,0.36
rhino,8,java.lang.VerifyError,pest,45,0.36
rhino,9,java.lang.VerifyError,pest,13,0.36
rhino,1,java.lang.NullPointerException,zest,39,0.84
rhino,2,java.lang.NullPointerException,zest,18,0.84
rhino,3,java.lang.NullPointerException,zest,26,0.84
rhino,4,java.lang.NullPointerException,zest,14,0.84
rhino,5,java.lang.NullPointerException,zest,112,0.84
rhino,6,java.lang.NullPointerException,zest,32,0.84
rhino,7,java.lang.NullPointerException,zest,39,0.84
rhino,8,java.lang.NullPointerException,zest,21,0.84
rhino,9,java.lang.NullPointerException,zest,4,0.84
rhino,10,java.lang.NullPointerException,zest,9,0.84
rhino,11,java.lang.NullPointerException,zest,26,0.84
rhino,12,java.lang.NullPointerException,zest,21,0.84
rhino,13,java.lang.NullPointerException,zest,50,0.84
rhino,14,java.lang.NullPointerException,zest,17,0.84
rhino,15,java.lang.NullPointerException,zest,7,0.84
rhino,16,java.lang.NullPointerException,zest,32,0.84
rhino,17,java.lang.NullPointerException,zest,48,0.84
