benchmark,repetition_id,exception,tool,mtf,repeatibility
bcel,1,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,19,0.9
bcel,2,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,3,0.9
bcel,3,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,6,0.9
bcel,4,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,13,0.9
bcel,5,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,22,0.9
bcel,6,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,12,0.9
bcel,7,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,11,0.9
bcel,8,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,11,0.9
bcel,9,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,16,0.9
closure,1,java.lang.RuntimeException,pest2,195,0.1
